,subtasks,comments,issue_link_count,outward_count,inward_count,issue_type,priority,log_change_count,estimation_error,estimate_class
1795,0,2,0,0,0,Improvement,2.0,24.0,22.166666666666668,overestimated
1796,0,1,0,0,0,Improvement,4.0,7.0,1.0,overestimated
1797,0,1,0,0,0,Improvement,3.0,8.0,6.0,overestimated
1798,0,3,0,0,0,Improvement,2.0,9.0,358.0,overestimated
1799,1,4,1,1,0,Bug,1.0,39.0,31.88235294117647,overestimated
1800,0,1,0,0,0,Improvement,3.0,9.0,70.0,overestimated
1801,0,1,0,0,0,Improvement,4.0,8.0,46.0,overestimated
1802,0,0,0,0,0,Bug,3.0,14.0,46.0,overestimated
1803,0,0,0,0,0,New Feature,3.0,15.0,39.142857142857146,overestimated
1804,0,2,1,1,0,New Feature,3.0,10.0,34.0,overestimated
1805,0,2,0,0,0,Bug,2.0,8.0,14.0,overestimated
1808,0,2,0,0,0,Bug,2.0,17.0,1.4285714285714286,overestimated
1809,0,9,3,2,1,Improvement,3.0,35.0,0.6402439024390244,overestimated
1811,0,3,1,0,1,New Feature,4.0,10.0,26.8,overestimated
1812,0,1,0,0,0,Bug,2.0,6.0,1.0,overestimated
1813,0,3,0,0,0,New Feature,2.0,56.0,3.5384615384615383,overestimated
1815,0,8,0,0,0,Improvement,2.0,30.0,41.2,overestimated
1816,0,1,0,0,0,New Feature,4.0,6.0,10.0,overestimated
1817,0,8,0,0,0,Improvement,3.0,13.0,6.0,overestimated
1818,0,4,0,0,0,New Feature,3.0,16.0,46.0,overestimated
1819,0,6,0,0,0,New Feature,2.0,12.0,382.0,overestimated
1820,0,2,0,0,0,Bug,1.0,11.0,2.0,overestimated
1821,0,2,0,0,0,Improvement,2.0,15.0,55.6,overestimated
1822,0,2,0,0,0,Improvement,3.0,7.0,22.0,overestimated
1823,0,2,0,0,0,Improvement,3.0,10.0,10.0,overestimated
1824,0,5,0,0,0,New Feature,3.0,107.0,23.2,overestimated
1826,0,3,0,0,0,Improvement,4.0,15.0,0.4,overestimated
1827,0,1,0,0,0,Improvement,3.0,18.0,7.0,overestimated
1828,0,30,1,1,0,Bug,1.0,20.0,190.0,overestimated
1829,0,4,0,0,0,Bug,2.0,22.0,14.0,overestimated
1830,0,1,1,0,1,Bug,3.0,13.0,1.0,overestimated
1831,0,3,0,0,0,Bug,3.0,5.0,1.0,overestimated
1832,0,0,0,0,0,Improvement,3.0,15.0,18.571428571428573,overestimated
1833,0,5,0,0,0,New Feature,2.0,33.0,70.0,overestimated
1834,0,3,0,0,0,Bug,1.0,10.0,113.2,overestimated
1836,0,4,0,0,0,Bug,2.0,5.0,1.0,overestimated
1837,0,65,0,0,0,New Feature,3.0,69.0,502.0,overestimated
1838,0,5,0,0,0,New Feature,2.0,29.0,286.0,overestimated
1839,0,72,0,0,0,New Feature,3.0,96.0,82.0,overestimated
1840,0,28,0,0,0,Improvement,2.0,34.0,142.0,overestimated
1841,0,36,2,2,0,New Feature,2.0,43.0,670.0,overestimated
1842,0,9,2,0,2,New Feature,2.0,232.0,151.6,overestimated
1843,0,35,0,0,0,New Feature,3.0,38.0,1006.0,overestimated
1844,0,7,2,1,1,Bug,3.0,17.0,1006.0,overestimated
1845,0,69,0,0,0,New Feature,3.0,75.0,70.0,overestimated
1846,0,1,0,0,0,Improvement,3.0,8.0,1006.0,overestimated
1847,0,5,0,0,0,Bug,3.0,24.0,11.090909090909092,overestimated
1848,0,5,1,0,1,Improvement,4.0,22.0,16.0,overestimated
1849,0,1,0,0,0,New Feature,3.0,19.0,78.0,overestimated
1850,0,0,0,0,0,Improvement,4.0,8.0,4.0,overestimated
1851,0,6,1,0,1,Improvement,3.0,8.0,286.0,overestimated
1852,0,0,0,0,0,Improvement,3.0,13.0,22.0,overestimated
1853,0,0,0,0,0,Bug,3.0,15.0,26.8,overestimated
1854,0,3,0,0,0,Improvement,3.0,18.0,34.0,overestimated
1855,0,4,0,0,0,Bug,2.0,3.0,0.12658227848101267,overestimated
1856,0,3,0,0,0,Improvement,3.0,8.0,4.0,overestimated
1858,0,1,0,0,0,Task,2.0,3.0,0.3333333333333333,overestimated
1865,0,8,0,0,0,Improvement,2.0,21.0,1.0,overestimated
1869,0,4,0,0,0,Task,2.0,12.0,4.666666666666667,overestimated
1870,0,5,0,0,0,Task,2.0,19.0,1.3333333333333333,overestimated
1874,0,1,0,0,0,Bug,2.0,11.0,1.6,overestimated
1878,0,7,1,0,1,Task,2.0,15.0,4.5,overestimated
1879,0,4,0,0,0,Improvement,2.0,14.0,2.0,overestimated
1880,0,1,0,0,0,Bug,3.0,6.0,4.0,overestimated
1884,0,9,0,0,0,Bug,3.0,11.0,1.0,overestimated
1885,0,7,0,0,0,Bug,2.0,5.0,4.0,overestimated
1886,0,1,1,1,0,Bug,2.0,12.0,1.0,overestimated
1893,0,11,0,0,0,New Feature,1.0,13.0,1.0,overestimated
1895,0,21,3,1,2,Improvement,0.0,25.0,8.666666666666666,overestimated
1897,0,5,0,0,0,Bug,2.0,6.0,4.0,overestimated
1900,0,6,0,0,0,New Feature,3.0,5.0,286.0,overestimated
1902,0,2,0,0,0,Dependency upgrade,2.0,6.0,1006.0,overestimated
1905,0,2,0,0,0,Task,2.0,9.0,0.7692307692307693,overestimated
1906,0,1,0,0,0,Improvement,3.0,6.0,10.0,overestimated
1911,0,4,0,0,0,New Feature,2.0,4.0,2014.0,overestimated
1912,0,1,0,0,0,Improvement,3.0,3.0,1.0,overestimated
1914,0,11,1,0,1,Bug,2.0,13.0,1.3333333333333333,overestimated
1916,0,2,1,1,0,Bug,2.0,13.0,1.3333333333333333,overestimated
1918,0,15,1,1,0,Task,3.0,9.0,2.8,overestimated
1920,0,4,0,0,0,Bug,3.0,4.0,1.0,overestimated
1921,0,5,1,0,1,Improvement,3.0,5.0,2.0,overestimated
1923,0,11,0,0,0,Sub-task,2.0,7.0,1.9452054794520548,overestimated
1924,0,4,0,0,0,Bug,2.0,3.0,2.0,overestimated
1926,0,4,0,0,0,Bug,2.0,4.0,3.3333333333333335,overestimated
1928,0,2,0,0,0,Bug,2.0,4.0,0.9565217391304348,overestimated
1929,0,4,0,0,0,Bug,2.0,12.0,0.6326530612244898,overestimated
1930,0,3,0,0,0,Task,2.0,6.0,11.0,overestimated
1931,0,0,0,0,0,Bug,3.0,4.0,1.7906976744186047,overestimated
